,구별,소계,총 범죄 수,총 검거 수,총 검거율
0,강남구,2780,8617,5732,66.5196704189393
1,강동구,773,5244,3171,60.46910755148741
2,강북구,748,4257,3113,73.1266149870801
3,관악구,1496,6345,3712,58.50275807722616
4,광진구,707,5909,3707,62.734811304789304
5,구로구,1561,5646,3502,62.0262132483174
6,금천구,1015,3781,2796,73.94869082253372
7,노원구,1265,5130,3268,63.70370370370371
8,도봉구,485,2664,1900,71.32132132132132
9,동대문구,1294,4720,3205,67.90254237288136
10,동작구,1091,4074,2397,58.83652430044183
11,마포구,574,5854,3597,61.44516569866758
12,서대문구,962,4029,2579,64.0109208240258
13,서초구,1930,5444,3450,63.37252020573108
14,성동구,1062,3358,2123,63.222156045265045
15,성북구,1464,4154,2729,65.6957149735195
16,송파구,618,6778,4113,60.68161699616405
17,양천구,2034,10113,7005,69.26727973894987
18,영등포구,904,6867,4154,60.49220911606233
19,용산구,1624,3820,2483,65.0
20,은평구,1873,4745,3167,66.74394099051634
21,종로구,1002,4705,2943,62.55047821466525
22,중구,671,4954,2942,59.38635446104158
23,중랑구,660,5193,3405,65.56903523974582
